influencer_id,platform,date,URL,caption,reach,likes,comments
143,YouTube,2023-01-12,https://example.com/post/143/51594998,Post by Suresh Patel on Speciality Supplements,83860,67067,1664
499,YouTube,2023-06-08,https://example.com/post/499/81993070,Post by Karan Patel on Proteins,343622,51263,4804
325,YouTube,2022-12-07,https://example.com/post/325/51630244,Post by Anita Kapoor on Weight Loss Foods,733614,57392,1954
30,Instagram,2023-12-07,https://example.com/post/30/21571285,Post by Isha Reddy on Pre/Post Workout,970542,56998,950
233,Twitter,2022-11-14,https://example.com/post/233/51512209,Post by Rohit Joshi on Gainers,699435,97265,1438
62,YouTube,2022-08-19,https://example.com/post/62/28416255,Post by Aditya Menon on Fat Burners,736575,1537,1342
255,Facebook,2024-07-04,https://example.com/post/255/80196591,Post by Priya Gupta on Vital Herbs,543347,94522,2123
86,YouTube,2024-08-24,https://example.com/post/86/27036337,Post by Priya Kumar on Herbs for Immunity,787197,35277,967
395,Twitter,2022-09-23,https://example.com/post/395/54964418,Post by Amit Naidu on Fat Burners,847313,56322,2228
269,Instagram,2022-12-02,https://example.com/post/269/45292504,Post by Anjali Kumar on Weight Loss Foods,747925,75632,631
255,Facebook,2025-02-11,https://example.com/post/255/78555983,Post by Priya Gupta on Vital Herbs,378617,7316,4092
440,YouTube,2023-07-01,https://example.com/post/440/59350218,Post by Shweta Chatterjee on Gainers,165951,33488,842
458,Facebook,2023-03-18,https://example.com/post/458/40655922,Post by Manish Menon on Speciality Supplements,777764,66742,21
23,YouTube,2022-08-19,https://example.com/post/23/42823140,Post by Divya Sharma on Herbs for Immunity,49215,61885,2981
197,Facebook,2023-05-28,https://example.com/post/197/34019729,Post by Divya Malhotra on Gainers,977392,4685,4529
412,YouTube,2024-11-29,https://example.com/post/412/40133935,Post by Anjali Malhotra on Pre/Post Workout,338433,32590,3409
469,Facebook,2024-05-10,https://example.com/post/469/46407626,Post by Rohit Chatterjee on Multivitamins,867120,10258,4682
191,Facebook,2023-03-26,https://example.com/post/191/77382794,Post by Sanya Joshi on Herbs for Personal Care,707033,6953,1469
115,Twitter,2025-06-15,https://example.com/post/115/16164431,Post by Priya Singh on Gainers,421400,9084,3810
444,Facebook,2024-02-23,https://example.com/post/444/51701149,Post by Deepak Verma on Herbs for Immunity,344199,11372,4530
234,Facebook,2022-08-10,https://example.com/post/234/59515518,Post by Anita Malhotra on Speciality Supplements,211418,38269,4618
402,Instagram,2024-04-07,https://example.com/post/402/93579731,Post by Suresh Gupta on Proteins,255367,60857,3016
303,Instagram,2025-04-30,https://example.com/post/303/36229153,Post by Anita Malhotra on Multivitamins,769043,71688,2008
78,Instagram,2022-08-07,https://example.com/post/78/65034115,Post by Pooja Reddy on Pre/Post Workout,26071,30589,4436
178,Facebook,2022-08-13,https://example.com/post/178/54965270,Post by Pooja Kapoor on Gainers,2533,99524,3082
435,Facebook,2024-04-14,https://example.com/post/435/23951801,Post by Ravi Chatterjee on Speciality Supplements,216161,69493,1951
215,YouTube,2025-04-27,https://example.com/post/215/18038980,Post by Neha Chatterjee on Speciality Supplements,150289,93327,2292
48,YouTube,2022-10-22,https://example.com/post/48/41067722,Post by Shweta Reddy on Herbs for Immunity,941874,68175,3383
359,Twitter,2024-08-25,https://example.com/post/359/71533194,Post by Suresh Mehta on Pre/Post Workout,785229,11178,4757
49,Instagram,2025-05-25,https://example.com/post/49/27919925,Post by Priya Kapoor on Gainers,669169,51738,613
304,Twitter,2022-11-29,https://example.com/post/304/68382413,Post by Aditya Kumar on Proteins,695622,17182,1939
150,Facebook,2024-01-10,https://example.com/post/150/52279780,Post by Divya Nair on Vital Herbs,972025,51555,2672
163,YouTube,2025-02-06,https://example.com/post/163/46501299,Post by Priya Menon on Herbs for Immunity,245959,9839,1660
70,Facebook,2023-03-05,https://example.com/post/70/30858851,Post by Vikram Patel on Vital Herbs,111790,21594,3682
239,Facebook,2024-04-28,https://example.com/post/239/64561191,Post by Priya Malhotra on Pre/Post Workout,127601,70294,2935
494,YouTube,2023-09-23,https://example.com/post/494/70655283,Post by Karan Joshi on Herbs for Personal Care,324284,60781,2170
437,Twitter,2023-03-27,https://example.com/post/437/22136086,Post by Rohit Iyer on Herbs for Personal Care,166271,89972,2492
424,Facebook,2022-10-15,https://example.com/post/424/38859601,Post by Anita Joshi on Multivitamins,877530,43014,1215
47,Facebook,2023-12-15,https://example.com/post/47/57746984,Post by Rohit Kumar on Vital Herbs,416492,67350,401
347,YouTube,2024-03-28,https://example.com/post/347/44918995,Post by Sneha Singh on Herbs for Immunity,860926,22839,254
488,Twitter,2024-10-30,https://example.com/post/488/70693413,Post by Isha Kapoor on Fat Burners,583959,98102,4506
128,Instagram,2023-02-03,https://example.com/post/128/72014395,Post by Priya Das on Herbs for Immunity,107857,18372,994
7,Twitter,2022-11-28,https://example.com/post/7/39835008,Post by Rahul Verma on Herbs for Personal Care,138064,26019,3281
191,Facebook,2023-01-13,https://example.com/post/191/88158177,Post by Sanya Joshi on Herbs for Personal Care,615590,33974,614
12,Facebook,2022-12-04,https://example.com/post/12/36541600,Post by Karan Nair on Gainers,947335,84720,3632
415,Facebook,2023-04-14,https://example.com/post/415/22345163,Post by Shweta Singh on Herbs for Immunity,950043,43506,1003
22,Facebook,2025-02-23,https://example.com/post/22/16796477,Post by Manish Menon on Speciality Supplements,177149,75270,3548
421,Instagram,2024-10-10,https://example.com/post/421/76588957,Post by Manish Das on Weight Loss Foods,31914,50215,3495
89,Facebook,2024-07-18,https://example.com/post/89/38818707,Post by Shweta Naidu on Speciality Supplements,953426,24580,2252
144,Twitter,2025-01-23,https://example.com/post/144/29948970,Post by Shweta Sharma on Vital Herbs,37332,80542,2013
332,Twitter,2024-03-20,https://example.com/post/332/76960098,Post by Divya Mehta on Weight Loss Foods,433005,72229,3924
32,Instagram,2023-01-20,https://example.com/post/32/47550897,Post by Sneha Reddy on Gainers,402620,18037,3434
103,Twitter,2025-07-05,https://example.com/post/103/43440045,Post by Isha Malhotra on Proteins,662393,71308,159
196,YouTube,2024-07-29,https://example.com/post/196/74382155,Post by Divya Sharma on Gainers,571968,63577,2818
