source,campaign,influencer_id,user_id,product,date,orders,revenue
Instagram,Campaign_70,459,p1oqkv0n4h2a,Herbal Extract,2023-06-28,7,21997.19
Instagram,Campaign_6,254,wnf3keyyn2w8,Weight Gainer,2022-09-03,35,75806.09
Facebook,Campaign_5,111,g4u1iwaayrib,Herbal Extract,2022-10-21,74,54400.95
Facebook,Campaign_33,419,erxe6l0dcz6p,Protein Powder,2024-11-08,89,2953.63
Twitter,Campaign_52,374,bbouzy46v57h,Speciality Supplement Pack,2024-03-13,85,53146.2
YouTube,Campaign_67,192,lszm6vduqdji,Herbal Skin Care Cream,2024-04-05,19,17113.15
Twitter,Campaign_57,95,6sow4yif5d9r,Fat Burner Capsules,2025-06-29,45,47288.52
Twitter,Campaign_99,188,expfsltj669r,Post Workout Drink,2024-04-23,18,58550.32
Twitter,Campaign_44,254,ea3y0xaobk02,Protein Powder,2023-01-18,77,21808.56
YouTube,Campaign_17,412,lvumhf5ox05z,Fat Burner Capsules,2025-01-13,39,61368.88
Facebook,Campaign_98,71,hi646nz3ha6c,Multivitamin Tablets,2023-01-25,54,39152.48
YouTube,Campaign_23,314,bb3vcpea74tb,Pre Workout Drink,2025-06-01,13,97576.5
Twitter,Campaign_10,312,s9izkm5vgywi,Post Workout Drink,2023-07-31,95,3153.94
Facebook,Campaign_86,469,7zwpd1otxs3f,Herbal Extract,2025-02-13,63,45490.89
Instagram,Campaign_23,113,ewsm91kqzjqa,Post Workout Drink,2022-11-05,37,59369.27
Twitter,Campaign_92,265,mzc39bmth2i5,Pre Workout Drink,2024-08-31,18,75686.17
Twitter,Campaign_44,35,p7vwkfu90fpi,Herbal Skin Care Cream,2024-07-13,26,22591.15
Facebook,Campaign_81,240,90mb0orr5sr5,Post Workout Drink,2025-04-09,59,65367.69
Instagram,Campaign_100,112,et3h7psxmdx5,Fat Burner Capsules,2024-05-10,68,36247.75
Twitter,Campaign_56,74,2f7gfppsyazh,Herbal Extract,2024-03-30,80,79701.02
Instagram,Campaign_45,439,xdo3gtxyz8ak,Herbal Skin Care Cream,2025-04-22,28,63901.12
Facebook,Campaign_92,328,v3udlwrflvrk,Vital Herbs Mix,2025-06-03,41,99947.06
Instagram,Campaign_35,477,tgu8tl777k1d,Herbal Skin Care Cream,2024-04-23,81,86551.58
Facebook,Campaign_53,484,8nruu8f855md,Speciality Supplement Pack,2025-03-08,52,12331.47
Twitter,Campaign_41,11,tce9sb5mbzgj,Protein Powder,2024-05-03,50,8778.74
YouTube,Campaign_99,477,zg8u6mqbiafh,Herbal Extract,2024-08-08,12,5293.46
YouTube,Campaign_77,477,e0fwcs4bju8o,Herbal Skin Care Cream,2023-04-02,71,52597.97
Twitter,Campaign_14,408,xm9f4oheun5a,Weight Gainer,2024-08-25,71,53247.83
Instagram,Campaign_63,15,8xaejgnzfzun,Weight Gainer,2025-05-19,56,83553.21
Twitter,Campaign_2,304,q2w9zl5y31k8,Weight Gainer,2023-08-10,53,51194.22
Instagram,Campaign_46,329,8no1rbn62nk7,Fat Burner Capsules,2023-07-05,82,87445.63
Instagram,Campaign_50,96,hlcnptt3m5h0,Protein Powder,2024-08-29,81,87760.42
Instagram,Campaign_52,36,jhk0i7mtpfor,Weight Loss Snack,2025-04-06,53,61400.18
YouTube,Campaign_32,176,poklf43rsasv,Herbal Extract,2023-06-01,51,87755.57
Facebook,Campaign_95,404,i1x1vh3ji9pv,Weight Gainer,2024-03-25,90,45302.88
Instagram,Campaign_89,298,mtm12lc9bgjq,Multivitamin Tablets,2023-12-13,22,50162.64
Instagram,Campaign_90,54,0aqk711uzq6r,Vital Herbs Mix,2023-12-11,16,34668.98
YouTube,Campaign_80,232,f8lw7y8aubpm,Multivitamin Tablets,2023-03-28,23,24769.23
Facebook,Campaign_39,19,9dbeza9agulm,Speciality Supplement Pack,2022-11-27,41,41561.55
Facebook,Campaign_11,129,5fqjyyiir41g,Vital Herbs Mix,2023-05-02,99,94584.35
Instagram,Campaign_83,378,20dfxuj5ogqj,Herbal Skin Care Cream,2024-02-18,50,21743.63
Instagram,Campaign_10,417,t4ngydbnigzm,Speciality Supplement Pack,2024-09-23,97,88939.56
Instagram,Campaign_84,233,k8j1923wvlcx,Weight Gainer,2025-05-03,68,94018.36
YouTube,Campaign_3,108,7mm1hqb1eg4o,Herbal Skin Care Cream,2024-05-09,38,92284.33
Facebook,Campaign_14,186,hpn9fdlr8z10,Speciality Supplement Pack,2023-02-28,28,97272.16
YouTube,Campaign_38,77,1jd1bje9xoaw,Vital Herbs Mix,2022-08-01,73,58436.84
YouTube,Campaign_14,99,cud3i2iwmc07,Pre Workout Drink,2024-07-26,83,84807.19
YouTube,Campaign_36,11,lblwvf36zpi2,Protein Powder,2025-01-30,52,26161.17
Twitter,Campaign_15,454,88h23tu8lm7x,Herbal Skin Care Cream,2024-09-19,88,13859.69
YouTube,Campaign_25,301,xcn3on4fg0dj,Fat Burner Capsules,2023-03-08,24,9726.82
YouTube,Campaign_30,450,q1pqvczkakj6,Weight Loss Snack,2024-02-21,70,65356.02
Twitter,Campaign_18,399,szxi5n6dbxf9,Protein Powder,2025-01-12,97,53665.59
