influencer_id,name,category,gender,follower_count,platform
1,Isha Singh,Herbs for Immunity,Male,1873427,Facebook
2,Isha Naidu,Gainers,Female,267612,Instagram
3,Ravi Mehta,Pre/Post Workout,Male,4709064,Facebook
4,Suresh Chatterjee,Pre/Post Workout,Female,4944118,YouTube
5,Aditya Menon,Vital Herbs,Female,2331953,Facebook
6,Karan Kapoor,Gainers,Male,3188061,Instagram
7,Rahul Verma,Herbs for Personal Care,Female,365488,Twitter
8,Suresh Sharma,Vital Herbs,Male,4631852,YouTube
9,Rohit Verma,Herbs for Personal Care,Male,584470,Instagram
10,Sanya Gupta,Gainers,Male,848261,Twitter
11,Vikram Das,Fat Burners,Male,3106303,YouTube
12,Karan Nair,Gainers,Male,4481690,Facebook
13,Anjali Das,Vital Herbs,Female,4673033,Facebook
14,Shweta Patel,Pre/Post Workout,Male,2647211,Twitter
15,Vikram Kumar,Pre/Post Workout,Female,1784640,Twitter
16,Neha Das,Multivitamins,Female,1172304,Facebook
17,Suresh Naidu,Herbs for Immunity,Female,4896028,Twitter
18,Rahul Reddy,Multivitamins,Female,763603,Instagram
19,Isha Joshi,Multivitamins,Female,533909,Twitter
20,Neha Chopra,Speciality Supplements,Female,4641795,Instagram
21,Isha Naidu,Herbs for Immunity,Female,936767,YouTube
22,Manish Menon,Speciality Supplements,Male,2210467,Facebook
23,Divya Sharma,Herbs for Immunity,Male,1283108,YouTube
24,Anjali Naidu,Weight Loss Foods,Male,2720218,Twitter
25,Aditya Sharma,Fat Burners,Female,2009671,Instagram
26,Sanya Malhotra,Gainers,Male,4077783,Instagram
27,Suresh Joshi,Multivitamins,Female,4613086,Facebook
28,Vikram Joshi,Herbs for Personal Care,Female,1777692,Facebook
29,Pooja Bhartia,Fat Burners,Female,4342740,Twitter
30,Isha Reddy,Pre/Post Workout,Male,2837067,Instagram
31,Anita Naidu,Pre/Post Workout,Male,61321,Instagram
32,Sneha Reddy,Gainers,Male,2772835,Instagram
33,Divya Reddy,Herbs for Immunity,Female,1798148,Facebook
34,Anita Malhotra,Speciality Supplements,Male,3968584,Twitter
35,Karan Sharma,Gainers,Female,2973063,Twitter
36,Manish Das,Proteins,Male,509455,Twitter
37,Shweta Sharma,Pre/Post Workout,Male,1596587,Twitter
38,Deepak Chatterjee,Multivitamins,Female,3881805,Facebook
39,Ravi Das,Weight Loss Foods,Male,425365,Instagram
40,Ravi Reddy,Multivitamins,Female,4074853,Twitter
41,Karan Bhartia,Proteins,Male,3180056,Instagram
42,Neha Nair,Speciality Supplements,Female,3549443,Twitter
43,Deepak Mehta,Herbs for Immunity,Male,491593,Instagram
44,Shweta Patel,Proteins,Female,4219214,Facebook
45,Sneha Joshi,Gainers,Male,575798,Instagram
46,Sanya Bhartia,Gainers,Male,4857325,Instagram
47,Rohit Kumar,Vital Herbs,Female,2188461,Facebook
48,Shweta Reddy,Herbs for Immunity,Female,1098886,YouTube
49,Priya Kapoor,Gainers,Male,3845377,Instagram
50,Ravi Naidu,Pre/Post Workout,Female,1112126,YouTube
51,Ravi Reddy,Fat Burners,Female,1324276,Twitter
52,Suresh Gupta,Herbs for Personal Care,Male,4653341,YouTube
53,Isha Joshi,Herbs for Immunity,Male,898882,Facebook
54,Vikram Gupta,Herbs for Personal Care,Male,2877288,Facebook
55,Vikram Joshi,Speciality Supplements,Female,427132,Instagram
56,Manish Nair,Proteins,Male,2799075,Facebook
57,Vikram Menon,Speciality Supplements,Female,4706227,Instagram
58,Isha Kumar,Multivitamins,Male,3098208,Facebook
59,Manish Joshi,Proteins,Female,3059918,Instagram
60,Rahul Mehta,Pre/Post Workout,Male,2967871,Twitter
61,Rohit Joshi,Pre/Post Workout,Male,1486222,Twitter
62,Aditya Menon,Fat Burners,Female,2082777,YouTube
63,Anjali Sharma,Vital Herbs,Male,3949434,Facebook
64,Karan Das,Fat Burners,Female,1910209,Facebook
65,Aditya Mehta,Vital Herbs,Female,2338091,Instagram
66,Vikram Verma,Weight Loss Foods,Female,4499103,YouTube
67,Aditya Sharma,Herbs for Immunity,Male,4871339,YouTube
68,Sneha Sharma,Herbs for Personal Care,Female,2900833,YouTube
69,Manish Chopra,Weight Loss Foods,Male,3232253,Facebook
70,Vikram Patel,Vital Herbs,Male,4362407,Facebook
71,Rahul Chatterjee,Gainers,Female,2634315,Instagram
72,Pooja Joshi,Herbs for Immunity,Female,2737220,Twitter
